JD,mag,err
0,11.472,0.021
0.01064,11.496,0.01
0.01506,11.508,0.01
0.01948,11.491,0.009
0.02391,11.514,0.011
2.0019,11.5,0.005
2.00232,11.502,0.005
2.00274,11.513,0.005
2.00315,11.5,0.005
2.00358,11.497,0.005
2.06664,11.5,0.005
2.06705,11.504,0.005
2.06746,11.509,0.005
2.06789,11.503,0.005
2.0683,11.507,0.005
2.10842,11.535,0.071
2.10842,11.529,0.005
2.11387,11.533,0.067
2.11387,11.53,0.005
2.16159,11.504,0.006
2.16202,11.509,0.006
2.16243,11.504,0.006
2.16285,11.499,0.006
2.16327,11.515,0.006
2.72372,11.41,0.003
2.72678,11.412,0.003
2.72987,11.405,0.003
2.73294,11.41,0.003
2.73601,11.407,0.003
2.73907,11.415,0.003
2.74214,11.414,0.003
2.74521,11.414,0.003
2.74828,11.41,0.003
2.75135,11.414,0.003
2.75442,11.42,0.003
2.75749,11.414,0.003
2.76056,11.418,0.003
2.76363,11.411,0.003
2.7667,11.411,0.004
3.06299,11.518,0.004
3.06761,11.526,0.005
3.99062,11.492,0.01
3.99393,11.504,0.005
3.99435,11.504,0.005
3.99476,11.498,0.005
3.99498,11.483,0.009
3.99518,11.486,0.005
3.9956,11.501,0.005
4.0127,11.492,0.009
4.01712,11.484,0.009
4.02154,11.48,0.008
4.02595,11.483,0.009
4.03037,11.506,0.009
4.03479,11.489,0.009
4.03921,11.498,0.009
4.04364,11.487,0.009
4.04806,11.491,0.009
4.05248,11.491,0.01
4.0569,11.501,0.009
4.06132,11.501,0.01
4.06574,11.502,0.009
4.07016,11.481,0.01
4.07459,11.506,0.009
4.08116,11.501,0.009
4.08558,11.486,0.009
4.09,11.492,0.009
4.76905,11.449,0.004
4.76928,11.458,0.004
4.76952,11.453,0.004
4.76976,11.449,0.004
4.77001,11.459,0.004
4.77025,11.453,0.004
4.77049,11.46,0.004
4.77074,11.446,0.004
4.77098,11.45,0.004
4.77122,11.45,0.004
4.77147,11.459,0.004
4.77171,11.456,0.004
4.77195,11.453,0.004
4.7722,11.459,0.004
4.77244,11.449,0.004
4.77268,11.453,0.004
4.77292,11.453,0.004
4.77317,11.453,0.004
4.77341,11.451,0.004
4.77365,11.457,0.004
4.7739,11.459,0.004
4.77414,11.457,0.004
4.77438,11.45,0.004
4.77463,11.452,0.004
4.77487,11.459,0.004
4.77511,11.458,0.004
4.77535,11.451,0.004
4.7756,11.453,0.004
4.77584,11.448,0.004
4.77608,11.45,0.004
4.77634,11.457,0.004
4.77658,11.45,0.004
4.77681,11.457,0.004
4.77706,11.449,0.004
4.7773,11.454,0.004
4.77754,11.46,0.004
4.77779,11.457,0.004
4.77803,11.453,0.004
4.77827,11.459,0.004
4.77851,11.451,0.004
4.77876,11.453,0.004
4.779,11.452,0.004
4.77926,11.455,0.004
4.7795,11.455,0.004
4.77973,11.449,0.004
4.77997,11.449,0.004
4.78022,11.458,0.004
4.78046,11.452,0.004
4.7807,11.453,0.004
4.78095,11.461,0.004
5.70415,11.385,0.003
6.13624,11.446,0.001
6.18746,11.458,0.003
7.96744,11.445,0.008
7.96849,11.455,0.009
7.96959,11.469,0.009
7.97069,11.462,0.009
7.97176,11.481,0.01
8.7656,11.456,0.005
8.76579,11.452,0.005
8.76597,11.447,0.005
8.76616,11.451,0.004
8.76634,11.455,0.004
8.76653,11.459,0.004
8.76671,11.452,0.004
8.7669,11.446,0.004
8.76709,11.448,0.004
8.76727,11.456,0.005
9.7803,11.454,0.004
9.7805,11.448,0.004
9.78068,11.459,0.004
9.78087,11.455,0.004
9.78106,11.457,0.004
9.78124,11.448,0.004
9.78143,11.45,0.004
9.78161,11.455,0.004
9.7818,11.448,0.004
9.78198,11.451,0.004
9.83035,11.481,0.019
9.8311,11.465,0.018
9.83187,11.468,0.018
9.83262,11.488,0.019
9.83337,11.49,0.019
9.839005,11.52,0.053
10.74441,11.461,0.004
10.74461,11.452,0.004
10.74479,11.45,0.004
10.74498,11.457,0.004
10.74516,11.45,0.004
10.74535,11.454,0.004
10.74553,11.46,0.004
10.74572,11.457,0.004
10.7459,11.455,0.004
10.74609,11.457,0.004
11.08344,11.486,0.009
11.0879,11.48,0.009
11.09232,11.489,0.009
11.09674,11.491,0.008
11.10116,11.495,0.008
11.10559,11.49,0.008
11.11001,11.477,0.009
11.11445,11.477,0.01
11.12884,11.478,0.01
11.13327,11.509,0.009
11.1377,11.495,0.01
