JD,mag,err
0,11.81033333,0.004
0.001,11.811,0.005
0.002,11.81275,0.005
0.003,11.811,0.005
0.004,11.81525,0.0045
0.005,11.81475,0.0045
0.006,11.81475,0.0045
0.007,11.8154,0.004
0.008,11.816,0.004
0.009,11.8145,0.004
0.01,11.81525,0.005
0.011,11.817,0.005
0.012,11.815,0.005
0.013,11.81075,0.005
0.014,11.81675,0.005
0.015,11.8128,0.005
0.016,11.81175,0.0065
0.017,11.81525,0.00875
0.018,11.81625,0.00825
0.019,11.81775,0.008
0.02,11.815,0.00725
0.021,11.81275,0.008
0.022,11.811,0.00725
0.023,11.8194,0.0056
0.024,11.80725,0.005
0.025,11.81975,0.005
0.026,11.8155,0.005
0.027,11.81075,0.0045
0.028,11.81725,0.0045
0.029,11.8125,0.0045
0.03,11.81575,0.004
0.031,11.8138,0.0044
0.032,11.8165,0.005
0.033,11.813,0.005
0.034,11.82075,0.005
0.035,11.819,0.005
0.036,11.81675,0.005
0.037,11.82,0.005
0.038,11.8145,0.005
0.039,11.8168,0.0052
0.04,11.81525,0.005
0.041,11.81525,0.005
0.042,11.8165,0.005
0.043,11.822,0.0055
0.044,11.819,0.005
0.045,11.817,0.00475
0.046,11.8165,0.005
0.047,11.8152,0.005
0.048,11.81775,0.005
0.049,11.81375,0.005
0.05,11.81375,0.00525
0.051,11.82425,0.00525
0.052,11.81125,0.00575
0.053,11.81375,0.00575
0.054,11.82,0.00525
0.055,11.81575,0.00525
0.056,11.8226,0.0058
0.057,11.82,0.00625
0.058,11.82075,0.0065
0.059,11.81525,0.00575
0.06,11.8195,0.0055
18.185,11.836,0.003
18.186,11.864,0.003
18.187,11.886,0.003
18.188,11.892,0.003
18.885,11.778,0.006
18.886,11.913,0.007
18.887,11.8445,0.0045
18.888,11.926,0.005
21.004,11.843,0.008
21.006,11.837,0.006
21.007,11.837,0.006
21.021,11.814,0.005
21.023,11.836,0.005
21.359,11.82,0.03
21.39,11.8,0.03
22.022,11.835,0.007
22.164,11.846,0.028
22.17,11.866,0.019
22.174,11.857,0.013
22.177,11.84,0.018
22.179,11.85,0.013
22.183,11.86,0.013
22.188,11.845,0.013
22.271,11.825,0.005
22.272,11.817,0.0045
22.275,11.838,0.005
22.276,11.834,0.005
22.281,11.8305,0.0045
22.282,11.832,0.005
22.285,11.836,0.005
22.29,11.829,0.0055
22.291,11.842,0.005
22.294,11.83033333,0.005
22.299,11.83,0.005
22.3,11.825,0.005
22.303,11.8535,0.0055
22.304,11.833,0.004
22.308,11.85,0.005
22.309,11.8375,0.005
22.312,11.835,0.005
22.313,11.83,0.004
22.318,11.83866667,0.005
22.321,11.832,0.005
22.322,11.826,0.005
22.327,11.831,0.005
22.328,11.821,0.005
22.331,11.82966667,0.005
22.336,11.847,0.005
22.337,11.8295,0.005
22.34,11.8275,0.005
22.341,11.834,0.005
22.345,11.831,0.005
22.346,11.8245,0.005
22.349,11.8285,0.0055
22.35,11.834,0.005
22.355,11.82433333,0.005
22.358,11.834,0.005
22.359,11.8395,0.005
22.364,11.8415,0.0055
22.365,11.832,0.006
22.368,11.833,0.005333333
22.373,11.842,0.0065
22.374,11.837,0.006
22.377,11.82766667,0.005333333
22.384,11.84533333,0.006
22.387,11.817,0.018
22.388,11.841,0.006
22.389,11.872,0.004
22.39,11.869,0.004
22.391,11.8745,0.004
22.392,11.872,0.004
22.393,11.874,0.004
22.394,11.883,0.004
22.398,11.875,0.004
22.403,11.858,0.006
22.404,11.839,0.006
22.407,11.8335,0.0065
22.408,11.8555,0.0035
22.41,11.877,0.001
22.412,11.857,0.004
22.413,11.852,0.006
22.414,11.876,0.002
22.415,11.871,0.002
22.416,11.864,0.005666667
22.417,11.836,0.007
22.418,11.8,0.03
22.421,11.844,0.007
22.422,11.8395,0.008
22.425,11.829,0.007
22.426,11.8315,0.0075
22.431,11.85233333,0.008333333
22.434,11.763,0.013
22.435,11.781,0.0125
22.941,11.838,0.0146
22.943,11.82565,0.0217
22.944,11.825,0.029
22.945,11.81933333,0.029
22.946,11.813,0.029
22.947,11.825,0.029
22.948,11.82033333,0.029
22.949,11.82,0.029
22.95,11.8115,0.029
22.951,11.815,0.029
22.952,11.8244,0.0254
22.953,11.82326667,0.024233333
22.954,11.81933333,0.029
22.955,11.81266667,0.029
22.956,11.8145,0.029
22.957,11.81466667,0.029
22.958,11.8189,0.02375
22.959,11.8195,0.029
22.96,11.81566667,0.029
22.961,11.82186667,0.021933333
22.962,11.815,0.029
22.963,11.8239,0.020225
22.964,11.82143333,0.0243
22.965,11.8285,0.029
22.966,11.82175,0.023725
22.967,11.81133333,0.029
22.968,11.81413333,0.021966667
22.969,11.812,0.029
22.97,11.814375,0.02375
22.971,11.8135,0.029
22.972,11.81733333,0.029
22.973,11.82122,0.022
22.974,11.8115,0.029
22.975,11.821625,0.02015
22.976,11.81833333,0.029
22.977,11.8195,0.020225
22.978,11.81266667,0.029
22.979,11.814,0.029
22.98,11.81323333,0.021966667
22.981,11.818,0.029
22.982,11.82603333,0.021966667
22.983,11.81866667,0.029
22.984,11.829525,0.0254
22.985,11.821575,0.02015
22.986,11.82266667,0.029
22.987,11.817425,0.0237
22.988,11.8195,0.029
22.989,11.823325,0.0237
22.99,11.82366667,0.029
22.991,11.82,0.029
22.992,11.8185,0.023725
22.993,11.816,0.029
22.994,11.82695,0.0201
22.995,11.81866667,0.029
22.996,11.82748333,0.0199
22.997,11.833,0.029
22.998,11.81366667,0.029
22.999,11.819225,0.023725
23,11.8235,0.029
23.001,11.81945,0.02375
23.002,11.81,0.029
23.003,11.8195,0.0185
23.004,11.82033333,0.029
23.005,11.820925,0.0254
23.006,11.820125,0.02015
23.007,11.82525,0.02325
23.008,11.81515,0.02375
23.009,11.818,0.029
23.01,11.82455,0.023725
23.011,11.81933333,0.029
23.012,11.813,0.029
23.013,11.82235,0.023725
23.014,11.81533333,0.029
23.015,11.821,0.021966667
23.016,11.81766667,0.029
23.017,11.83,0.02425
23.018,11.82123333,0.021966667
23.019,11.83275,0.0245
23.02,11.819175,0.02375
23.021,11.839,0.022666667
23.022,11.814075,0.02375
23.023,11.819,0.029
23.024,11.83066667,0.022666667
23.025,11.817275,0.02375
23.026,11.83125,0.0245
23.027,11.8157,0.022
23.028,11.83525,0.0245
23.029,11.8116,0.02375
23.03,11.828,0.022666667
23.031,11.82066667,0.029
23.032,11.81385,0.023775
23.033,11.8435,0.0195
23.034,11.81135,0.023775
23.035,11.82833333,0.022666667
23.036,11.81213333,0.022033333
23.037,11.829,0.0245
23.038,11.819,0.029
23.039,11.8107,0.022033333
23.04,11.81433333,0.029
23.041,11.81095,0.023775
23.042,11.811,0.029
23.043,11.79973333,0.022033333
23.044,11.79666667,0.029
23.045,11.8195,0.029
23.046,11.80283333,0.022033333
23.047,11.818,0.029
23.048,11.8038,0.022066667
23.049,11.8055,0.029
23.05,11.8075,0.029
23.051,11.80683333,0.022
23.052,11.808,0.029
23.053,11.8097,0.023775
23.054,11.807,0.029
23.055,11.8091,0.023775
23.056,11.8075,0.029
23.057,11.8025,0.029
23.058,11.810575,0.0238
23.059,11.81266667,0.029
23.06,11.81915,0.019275
23.061,11.806,0.029
23.062,11.81638,0.02102
23.063,11.804,0.029
23.064,11.8245,0.02425
23.065,11.808525,0.023775
23.066,11.814,0.029
23.067,11.8185,0.02124
23.068,11.8005,0.029
23.069,11.82215,0.01905
23.07,11.811,0.029
23.071,11.82875,0.0245
23.072,11.8035,0.01865
23.073,11.8195,0.0245
23.074,11.81486667,0.0221
23.075,11.834,0.02
